event_id,event_date,latitude,longitude,landslide_trigger,landslide_size,fatality_count,location_description
2455,09/19/2010 12:00:00 AM,30.1035,78.4265,downpour,medium,0,"road to Shivpur(Shivpuri), Pauri Garhwal district, Uttarakhand"
9318,05/23/2016 01:00:00 AM,30.7007,77.8644,rain,small,10,"Chakrata, Uttarakhand, India"
5088,07/12/2013 12:00:00 AM,29.3802,79.4633,downpour,medium,6,"Lohardobha Billage, Dhari, Nainital"
5196,07/25/2013 12:00:00 AM,30.8928,78.48,continuous_rain,medium,,"Uttarkashi, Uttarakhand"
5086,07/12/2013 12:00:00 AM,29.3802,79.4633,rain,medium,6,"Nainital District, Uttarakhand"
5215,07/27/2013 12:00:00 AM,30.4521,78.754,rain,medium,,Balsori Villages In The Akhrori Area
5359,08/18/2013 12:00:00 AM,30.742,78.4543,rain,medium,,Rishikesh-Gangotri Highway
653,07/18/2008 12:00:00 AM,29.33,80.1,rain,medium,14,Sukhidhang area of Champawat district in Uttarakhand 
3671,06/29/2011 12:00:00 AM,30.81507336,78.2242533,downpour,medium,,National Highway leading to Yamunotri from Dehradun
5177,07/23/2013 12:00:00 AM,30.2902,79.151,downpour,medium,0,"Gauchar, Chamoli District, Uttarakhand"
5181,07/24/2013 12:00:00 AM,30.2733,79.233,downpour,medium,,"Rishikesh-Badrinath Highway, Uttarakhand"
6167,07/20/2014 12:00:00 AM,30.6326,78.9953,continuous_rain,small,3,"Sonprayag, Uttarakhand"
9314,05/22/2016 03:00:00 PM,30.306,78.0648,rain,small,10,"Chetra Village, Dehradun, India"
9017,07/17/2016 12:00:00 AM,30.1642,78.2936,downpour,medium,4,"Narendranagar bypass on the Rishikesh-Gangotri national highway,Tehri Garhwal district, Uttarakhand, India"
2292,08/20/2010 12:00:00 AM,30.8183,78.6186,downpour,medium,0,"Bhatwari, Rishikesh-Gangotri highway, Uttarkhand"
6510,08/15/2014 12:00:00 AM,30.1176,78.7472,rain,medium,14,Pauri district of Uttarakhand
5199,07/25/2013 12:00:00 AM,30.7866,78.6171,continuous_rain,medium,0,"Malla, Uttarkashi, Uttarakhand"
2380,09/03/2010 12:00:00 AM,30.4008,79.0278,downpour,medium,0,"Bhatwari, Rishikesh-Gangotri hwy"
5184,07/24/2013 12:00:00 AM,30.9058,78.0906,downpour,medium,0,"Sunali, Uttarakhand"
5129,07/18/2013 12:00:00 AM,30.4043,79.3308,downpour,medium,0,"Chamoli District, Uttarakhand"
2445,09/18/2010 12:00:00 AM,30.1454,78.6007,downpour,medium,0,"near Devprayag, Rishikesh-Badrinath hwy, "
7160,07/11/2015 12:00:00 AM,30.3799,78.4862,continuous_rain,medium,0,Badrinath Highway near Mulygoan in Tihri
4090,12/10/2011 12:00:00 AM,29.913,79.3532,downpour,medium,0,Uttarakhand 
3914,08/12/2011 12:00:00 AM,28.8665,79.5682,rain,large,11,Uttarakhand and the Uttar Pradesh
2459,09/19/2010 12:00:00 AM,29.5477,79.3211,downpour,medium,0,"roads to Rani Khet(Ranikhet) and Jolle Kote(?), Uttarakhand"
7295,07/24/2015 12:00:00 AM,30.4517,78.1443,continuous_rain,small,0,Kempty Road near Sia village
4487,08/17/2012 12:00:00 AM,30.6179,78.3233,downpour,medium,,"Gangotri-Rishikesh hwy, Uttarakhand (mid-point of road -exact location unknown)"
5068,07/10/2013 04:30:00 AM,30.3629,79.2143,rain,medium,7,"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand"
4924,06/16/2013 07:30:00 PM,30.7351,79.0666,downpour,very_large,5000,"Kedarnath (Hindu Shrine), Near Kedarnath Dome (Mountain), Uttarakhand"
9020,07/17/2016 09:00:00 AM,29.9551,78.1677,downpour,medium,0,"Railway tunnel a few kilometres from the Haridwar railway station, between Haridwar and Dehradun, Uttarakhand, India"
7311,08/15/2015 12:00:00 AM,30.6494,79.5269,continuous_rain,medium,0,Lambagadh
5024,07/04/2013 12:00:00 AM,30.1719,80.8576,continuous_rain,medium,,"Gunji, Uttarakhand"
7391,08/01/2015 12:00:00 AM,31.0358,78.8578,continuous_rain,medium,0,Gangotri highway
7227,07/19/2015 03:00:00 PM,30.0705,80.2364,monsoon,small,1,Sandrathi village of Munsiyari block of Pithoragarh district
4550,09/14/2012 08:00:00 AM,30.2853,78.9829,downpour,very_large,19,"Rudraprayag, Uttarakhand"
5611,10/18/2013 09:00:00 AM,30.5345,79.0853,rain,medium,0,"National Highway 109, Uttarakhand"
5240,07/31/2013 08:00:00 AM,30.3822,78.0949,downpour,medium,4,"Dehradun, Uttarakhand"
6525,08/18/2014 12:00:00 AM,30.9936,78.4594,downpour,medium,0,Yamunotri route
2041,07/06/2010 12:00:00 AM,30.2485,78.8847,downpour,medium,0,"highway to Rudraprayag district, Uttarakhand"
150,07/30/2007 12:00:00 AM,30.4,79.349,downpour,medium,,Chamoli
173,08/11/2007 12:00:00 AM,30.0702,78.3027,rain,medium,,Rishikesh
2471,09/19/2010 12:00:00 AM,29.7911,80.058,downpour,medium,0,"roads above Pithoragarh, Uttranchal"
2453,09/19/2010 06:00:00 PM,29.6131,79.494,downpour,medium,0,"near Chausali village(?), Almora district, Uttarakhand"
7309,08/15/2015 12:00:00 AM,30.7864,78.616,continuous_rain,medium,0,Malla
6162,07/19/2014 05:00:00 AM,30.4305,78.0803,rain,small,0,"Mussoorie, Uttarakhand"
5139,07/19/2013 12:00:00 AM,30.0718,80.2369,downpour,medium,0,"Munsyari Area, Pithoragarh, Uttarakhand"
146,07/30/2007 12:00:00 AM,30.733,78.439,downpour,medium,2,Uttarkashi district
5195,07/25/2013 12:00:00 AM,30.4041,79.3276,continuous_rain,medium,,"Alaknanda Valley Of Chamoli District, Uttarakhand"
2105,07/20/2010 06:00:00 PM,29.3576,79.5519,downpour,medium,1,"Bhimtal area, Naintal district, Uttarakhand"
6177,07/23/2014 11:30:00 PM,29.1585,79.1464,continuous_rain,small,2,"Bazpur, Uttarakhand"
